MLP,Patente,Altura,Ancho,Largo,Modelo,Año,Largo Carga,Superficie Carga m3,Cantidad de Pallet,Capacidad de carga M3,Altura Carga,Ancho Carga,Tipo,SI
ELOG,AA612HG,3.1,2.2,6.6,IVECO DAILY 35C15 PASO 3750,2016,4.6,10.12,8.433.333.333,31.372,1.9,2,Chasis Pesado,Si
ELOG,RFP801,2.9,2.1,6.1,MERCEDES BENZ L608D/35,1979,4.1,8.61,7.175,24.969,1.7,1.9,Chasis Pesado,Si
ELOG,RTD755,3.4,2.4,8.5,DODGE DP 600,1970,6.5,15.6,13,53.04,2,2.2,Chasis Pesado,Si
ELOG,DFL786,3.3,2.6,7.6,MERCEDES BENZ LO814,2000,5.6,14.56,1.213.333.333,48.048,2,2.2,Chasis Pesado,Si
ELOG,UKK041,3.4,2.4,7,MERCEDES BENZ L608D/35,1981,5,12,10,40.8,2,2.2,Chasis Pesado,Si
ELOG,FKH704,3,2.1,5.9,MERCEDES BENZ SPRINTER 311 CDI CH 3550,2006,3.9,8.19,6.825,24.57,1.8,1.9,Chasis Pesado,Si
ELOG,VOU156,3.35,2.25,7.1,MERCEDES BENZ L608D/35,1975,5.1,11.475,9.5625,3.844.125,2,02.05,Chasis Pesado,Si
ELOG,BPN134,3,2.3,7.3,MERCEDES BENZ LO814,1997,5.3,12.19,1.015.833.333,36.57,1.8,2.1,Chasis Pesado,Si
ELOG,VVE302,3,2.3,7.7,MERCEDES BENZ L710D/37,1993,5.7,13.11,10.925,39.33,1.8,2.1,Chasis Pesado,Si
ELOG,KVK044,3,2.3,6.8,DFM DOULICA 1036CJ10,2012,4.8,11.04,9.2,33.12,1.8,2.1,Chasis Pesado,Si
ELOG,NLH182,3,2.3,7.3,AGRALE 8500,2014,5.3,12.19,8.3475,20.034,1.8,2.1,Chasis,Si
ELOG,SEN677,3.2,2.4,7.3,MERCEDES BENZ L710 D/37,1992,5.3,12.72,9.716.666.667,23.32,2,2.2,Chasis Pesado,Si
ELOG,UIL382,2.9,2.5,6.5,MERCEDES BENZ L608D/35,1977,4.5,11.25,7.0125,16.83,1.7,2.2,Chasis Liviano,Si
INTRALOG,DVU171,3.3,2.33,6.85,AGRALE 6000D,2001,4.85,11.3005,8.891.666.667,21.34,2,2.2,Chasis,Si
INTRALOG,TEU853,3.5,2.6,8.15,MERCEDES BENZ LO1114/51FA,1987,6.15,15.99,11.275,27.06,2,2.2,Chasis Pesado,Si
ADDING,GLG955,3.1,2.4,6.9,MERCEDES BENZ 710,2007,4.9,11.76,8.534.166.667,20.482,1.9,2.2,Chasis,Si
ADDING,LFJ934,3,2.1,5.6,RENAULT MASTER,2012,3.6,7.56,5.13,12.312,1.8,1.9,Chasis Liviano,Si
ADDING,TFT857,2.9,2.1,6.6,MERCEDES BENZ L608 D 350,1981,4.6,9.66,6.190.833.333,14.858,1.7,1.9,Chasis Liviano,Si
